snapshot_date,branch_id,sku_id,stock_units,stock_cost,expiry_date
2026-06-30,1,1001,74,1332,2027-06-30
2026-06-30,1,1002,75,1800,2027-06-30
2026-06-30,1,1003,76,2128,2027-06-30
2026-06-30,1,1004,77,924,2027-06-30
2026-06-30,1,1005,78,780,2026-08-31
2026-06-30,1,1006,79,2765,2027-06-30
2026-06-30,1,1007,80,3360,2027-06-30
2026-06-30,1,1008,81,1296,2027-06-30
2026-06-30,1,1009,82,3116,2027-06-30
2026-06-30,1,1010,83,415,2026-08-31
2026-06-30,1,1011,84,4368,2027-06-30
2026-06-30,1,1012,85,2295,2027-06-30
2026-06-30,2,1001,87,1566,2027-06-30
2026-06-30,2,1002,88,2112,2027-06-30
2026-06-30,2,1003,89,2492,2027-06-30
2026-06-30,2,1004,90,1080,2027-06-30
2026-06-30,2,1005,91,910,2026-08-31
2026-06-30,2,1006,92,3220,2027-06-30
2026-06-30,2,1007,93,3906,2027-06-30
2026-06-30,2,1008,94,1504,2027-06-30
2026-06-30,2,1009,95,3610,2027-06-30
2026-06-30,2,1010,96,480,2026-08-31
2026-06-30,2,1011,97,5044,2027-06-30
2026-06-30,2,1012,98,2646,2027-06-30
2026-06-30,3,1001,100,1800,2027-06-30
2026-06-30,3,1002,101,2424,2027-06-30
2026-06-30,3,1003,102,2856,2027-06-30
2026-06-30,3,1004,103,1236,2027-06-30
2026-06-30,3,1005,104,1040,2026-08-31
2026-06-30,3,1006,10,350,2027-06-30
2026-06-30,3,1007,11,462,2027-06-30
2026-06-30,3,1008,12,192,2027-06-30
2026-06-30,3,1009,13,494,2027-06-30
2026-06-30,3,1010,14,70,2026-08-31
2026-06-30,3,1011,15,780,2027-06-30
2026-06-30,3,1012,16,432,2027-06-30
