sales_date,branch_id,sku_id,units_sold,gross_sales,discount_value,net_sales,cost_value,promo_flag
2026-06-01,1,1001,26,754,0,754,468,0
2026-06-01,1,1002,27,1053,105.3,947.7,648,1
2026-06-01,1,1003,28,1372,0,1372,784,0
2026-06-01,1,1004,29,638,0,638,348,0
2026-06-01,1,1005,30,570,0,570,300,0
2026-06-01,1,1006,31,1829,182.9,1646.1,1085,1
2026-06-01,1,1007,32,2528,0,2528,1344,0
2026-06-01,1,1008,33,924,0,924,528,0
2026-06-01,1,1009,34,1870,0,1870,1292,0
2026-06-01,1,1010,35,315,31.5,283.5,175,1
2026-06-01,1,1011,36,3060,0,3060,1872,0
2026-06-01,1,1012,37,1702,0,1702,999,0
2026-06-01,2,1001,33,957,0,957,594,0
2026-06-01,2,1002,34,1326,132.6,1193.4,816,1
2026-06-01,2,1003,35,1715,0,1715,980,0
2026-06-01,2,1004,36,792,0,792,432,0
2026-06-01,2,1005,37,703,0,703,370,0
2026-06-01,2,1006,38,2242,224.2,2017.8,1330,1
2026-06-01,2,1007,39,3081,0,3081,1638,0
2026-06-01,2,1008,40,1120,0,1120,640,0
2026-06-01,2,1009,41,2255,0,2255,1558,0
2026-06-01,2,1010,42,378,37.8,340.2,210,1
2026-06-01,2,1011,43,3655,0,3655,2236,0
2026-06-01,2,1012,44,2024,0,2024,1188,0
2026-06-01,3,1001,40,1160,0,1160,720,0
2026-06-01,3,1002,41,1599,159.9,1439.1,984,1
2026-06-01,3,1003,42,2058,0,2058,1176,0
2026-06-01,3,1004,43,946,0,946,516,0
2026-06-01,3,1005,44,836,0,836,440,0
2026-06-01,3,1006,45,2655,265.5,2389.5,1575,1
2026-06-01,3,1007,46,3634,0,3634,1932,0
2026-06-01,3,1008,47,1316,0,1316,752,0
2026-06-01,3,1009,48,2640,0,2640,1824,0
2026-06-01,3,1010,49,441,44.1,396.9,245,1
2026-06-01,3,1011,50,4250,0,4250,2600,0
2026-06-01,3,1012,51,2346,0,2346,1377,0
